Epoch 0/11, Iters: 005300, loss: 25.9073, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 005400, loss: 25.6784, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 005500, loss: 25.7234, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 005600, loss: 25.8445, train_accuracy: 0.0000, time: 0.42 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 005700, loss: 25.8425, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 005800, loss: 25.8608, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 005900, loss: 26.0016, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 006000, loss: 25.6949, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 006100, loss: 25.6897, train_accuracy: 0.0000, time: 1.12 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 006200, loss: 25.7039, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 006300, loss: 25.7072, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 006400, loss: 25.6755, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 006500, loss: 25.4789, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 006600, loss: 25.6069, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 006700, loss: 25.4012, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 006800, loss: 25.3161, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 006900, loss: 25.3372, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 007000, loss: 25.5357, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 007100, loss: 25.6176, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 007200, loss: 25.5478, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 007300, loss: 25.6203, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 007400, loss: 25.5250, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 007500, loss: 25.3578, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 007600, loss: 25.4702, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 007700, loss: 25.4556, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 007800, loss: 25.3464, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 007900, loss: 25.5066, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 008000, loss: 25.3713, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 008100, loss: 24.8741, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 008200, loss: 25.2080, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 008300, loss: 25.0288, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 008400, loss: 25.0316, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 008500, loss: 24.9435, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 008600, loss: 25.1445, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 008700, loss: 24.9419, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 008800, loss: 25.0467, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 008900, loss: 25.3327, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 009000, loss: 24.7568, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 009100, loss: 24.8462, train_accuracy: 0.0000, time: 1.12 s/iter, learning rate: 0.01
Epoch 0/11, Iters: 009200, loss: 24.9393, train_accuracy: 0.0000, time: 0.38 s/iter, learning rate: 0.01
